trajectory,time,lon,lat,status,start,nearest_beach,distance_m
1000,2025-12-16 14:19:16.786749,14.555401,35.8261,1.0,2025-12-15 17:19:16.786749,Delimara,757.8515064030548
1007,2025-12-16 14:19:16.786749,14.555452,35.824177,1.0,2025-12-15 17:19:16.786749,Delimara,925.3453110895583
1008,2025-12-16 14:49:16.786749,14.557041,35.822216,1.0,2025-12-15 17:19:16.786749,Delimara,1184.208656412671
1013,2025-12-16 14:34:16.786749,14.556964,35.82183,1.0,2025-12-15 17:19:16.786749,Delimara,1215.511628463976
1015,2025-12-16 14:49:16.786749,14.55542,35.825912,1.0,2025-12-15 17:19:16.786749,Delimara,774.0537146147622
1022,2025-12-16 14:34:16.786749,14.555393,35.82473,1.0,2025-12-15 17:19:16.786749,Delimara,872.8198976579566
1028,2025-12-16 14:34:16.786749,14.556,35.82362,1.0,2025-12-15 17:19:16.786749,Delimara,1003.829612803919
1032,2025-12-16 14:34:16.786749,14.555349,35.824265,1.0,2025-12-15 17:19:16.786749,Delimara,912.1267924093255
1042,2025-12-16 14:04:16.786749,14.555584,35.823933,1.0,2025-12-15 17:19:16.786749,Delimara,954.1911939444238
1054,2025-12-16 14:34:16.786749,14.555988,35.82353,1.0,2025-12-15 17:19:16.786749,Delimara,1011.4985032739996
1055,2025-12-16 14:04:16.786749,14.557932,35.819664,1.0,2025-12-15 17:19:16.786749,Delimara,1463.7702621736591
1057,2025-12-16 13:49:16.786749,14.557099,35.821465,1.0,2025-12-15 17:19:16.786749,Delimara,1255.9549088901197
1058,2025-12-16 15:04:16.786749,14.555374,35.825203,1.0,2025-12-15 17:19:16.786749,Delimara,830.5990666211495
1061,2025-12-16 14:34:16.786749,14.556558,35.823025,1.0,2025-12-15 17:19:16.786749,Delimara,1086.3191163416302
1073,2025-12-16 14:19:16.786749,14.555409,35.824028,1.0,2025-12-15 17:19:16.786749,Delimara,936.6761002892313
1076,2025-12-16 14:19:16.786749,14.555729,35.823864,1.0,2025-12-15 17:19:16.786749,Delimara,967.8288373151314
1081,2025-12-16 14:04:16.786749,14.55791,35.820248,1.0,2025-12-15 17:19:16.786749,Delimara,1408.0736057812746
1091,2025-12-16 14:34:16.786749,14.555367,35.82509,1.0,2025-12-15 17:19:16.786749,Delimara,840.0828442463372
1092,2025-12-16 14:04:16.786749,14.5573435,35.821342,1.0,2025-12-15 17:19:16.786749,Delimara,1279.1765834659973
1093,2025-12-16 14:49:16.786749,14.555362,35.82515,1.0,2025-12-15 17:19:16.786749,Delimara,834.493400585171
1107,2025-12-16 14:19:16.786749,14.5570345,35.821762,1.0,2025-12-15 17:19:16.786749,Delimara,1225.3130550183598
1109,2025-12-16 14:49:16.786749,14.555419,35.82633,1.0,2025-12-15 17:19:16.786749,Delimara,740.9587914362784
1122,2025-12-16 14:04:16.786749,14.557294,35.821312,1.0,2025-12-15 17:19:16.786749,Delimara,1279.5540784515117
1125,2025-12-16 14:19:16.786749,14.557403,35.821373,1.0,2025-12-15 17:19:16.786749,Delimara,1279.297484278543
1131,2025-12-16 14:19:16.786749,14.555416,35.824512,1.0,2025-12-15 17:19:16.786749,Delimara,893.3206290206629
1134,2025-12-16 14:49:16.786749,14.555352,35.825832,1.0,2025-12-15 17:19:16.786749,Delimara,776.4701069851345
1139,2025-12-16 15:34:16.786749,14.555611,35.82681,1.0,2025-12-15 17:19:16.786749,Delimara,717.5351516560429
1140,2025-12-16 14:19:16.786749,14.555635,35.823944,1.0,2025-12-15 17:19:16.786749,Delimara,955.7863603896807
1142,2025-12-16 14:04:16.786749,14.555629,35.823887,1.0,2025-12-15 17:19:16.786749,Delimara,960.6286882225055
1146,2025-12-16 14:04:16.786749,14.557103,35.82174,1.0,2025-12-15 17:19:16.786749,Delimara,1230.8159343623731
1151,2025-12-16 14:19:16.786749,14.557158,35.82146,1.0,2025-12-15 17:19:16.786749,Delimara,1259.1890030558602
1157,2025-12-16 14:04:16.786749,14.555778,35.82373,1.0,2025-12-15 17:19:16.786749,Delimara,982.4024345916356
1158,2025-12-16 14:04:16.786749,14.556629,35.823086,1.0,2025-12-15 17:19:16.786749,Delimara,1084.6091303152218
1160,2025-12-16 13:49:16.786749,14.557246,35.82142,1.0,2025-12-15 17:19:16.786749,Delimara,1267.3605781538004
1170,2025-12-16 14:34:16.786749,14.555902,35.823574,1.0,2025-12-15 17:19:16.786749,Delimara,1002.9106196098396
1174,2025-12-16 14:34:16.786749,14.557438,35.82117,1.0,2025-12-15 17:19:16.786749,Delimara,1299.6386258359419
1178,2025-12-16 14:34:16.786749,14.555424,35.82493,1.0,2025-12-15 17:19:16.786749,Delimara,857.1054382604419
1187,2025-12-16 14:04:16.786749,14.556354,35.823177,1.0,2025-12-15 17:19:16.786749,Delimara,1061.998627686685
